node,lat,lon,score
9913028522,41.8757839,-87.6316571,0.8359999999999999
9913028535,41.8769446,-87.6319164,0.8319999999999997
9913028537,41.8795778,-87.6275643,0.8099999999999996
9913028538,41.8795898,-87.6269791,0.8049999999999996
9913028540,41.8794254,-87.6275646,0.8054999999999992
9913028552,41.8770411,-87.6275197,0.7994999999999993
9913028553,41.8770319,-87.6269146,0.8009999999999994
9913028560,41.8768874,-87.6269117,0.8069999999999992
9913028564,41.8758066,-87.6268898,0.8114999999999993
9913028570,41.8777782,-87.6275359,0.8089999999999992
9913028572,41.8790237,-87.6275524,0.8044999999999993
9913028573,41.8786233,-87.6275424,0.8059999999999994
9913028576,41.8786488,-87.6278562,0.8039999999999994
9913028579,41.8790143,-87.6278649,0.8029999999999993
9913028730,41.8764114,-87.6293822,0.7974999999999998
9913028737,41.8793656,-87.6294699,0.8034999999999992
9913028738,41.8776699,-87.6294184,0.8064999999999997
9913028739,41.8786383,-87.6294655,0.7994999999999993
9913028740,41.8786392,-87.6291855,0.8004999999999994
9913028752,41.8793606,-87.6292115,0.8074999999999991
9913028754,41.879531,-87.6292148,0.8079999999999993
9913028758,41.8795231,-87.6294717,0.8034999999999992
9913383204,41.8781026,-87.6286658,0.8004999999999994
9913383211,41.8772144,-87.6286519,0.7984999999999995
9913383212,41.8781067,-87.6288703,0.8004999999999994
9913425820,41.8781018,-87.6297066,0.8009999999999995
9913425822,41.8780999,-87.6298297,0.8004999999999994
9913425823,41.8757855,-87.6297846,0.8019999999999995
9913425825,41.8768217,-87.6298044,0.8009999999999997
9913425843,41.878657,-87.6306628,0.7999999999999993
9913425845,41.8793454,-87.6306861,0.7974999999999993
9913425846,41.8795068,-87.6306944,0.7974999999999993
9913425852,41.8759792,-87.6308528,0.8294999999999999
9913425860,41.8793535,-87.6309414,0.8029999999999992
9913425862,41.8795019,-87.6309455,0.7999999999999992
9913425868,41.8780576,-87.6326576,0.7034999999999997
9913425870,41.8780548,-87.6328325,0.7034999999999997
9913425874,41.8780584,-87.6324099,0.788999999999999
9913425875,41.8782177,-87.6323926,0.7874999999999993
9913425877,41.878064,-87.6321159,0.7949999999999993
9913425881,41.8793312,-87.6324119,0.6859999999999999
9913425883,41.8794807,-87.6324167,0.6859999999999999
9913425886,41.8793364,-87.6321586,0.6859999999999999
9913425888,41.8794851,-87.6321655,0.6859999999999999
9913426035,41.8777575,-87.6278426,0.8044999999999994
9928185364,41.87883,-87.6321558,0.7874999999999993
9928185365,41.8788469,-87.6323919,0.7859999999999993
9928185367,41.8786926,-87.6323985,0.7859999999999993
9928185368,41.8787075,-87.6321521,0.7874999999999993
10073962776,41.87942,-87.6268368,0.7969999999999996
10073962778,41.8795136,-87.6268399,0.8049999999999996
10888643220,41.8770464,-87.6263776,0.8074999999999993
10925676068,41.8807941,-87.6303332,0.8039999999999992
10925676069,41.8807959,-87.6301375,0.8029999999999993
10932481665,41.879649,-87.6262382,0.6954999999999998
10932481666,41.8795972,-87.626237,0.6954999999999998
10932481670,41.8795359,-87.6262097,0.6954999999999998
10932481671,41.8795855,-87.6262104,0.6954999999999998
10932481675,41.8794866,-87.6262079,0.6954999999999998
10932481708,41.8790627,-87.626221,0.8084999999999996
10932481711,41.878921,-87.6262716,0.8064999999999997
10933145651,41.8769428,-87.6322586,0.8369999999999996
10933145654,41.8768153,-87.6308469,0.8279999999999997
10933145686,41.8768037,-87.6318004,0.8344999999999996
10933145687,41.876939,-87.6318037,0.8299999999999996
10933145689,41.8768046,-87.6317259,0.8344999999999996
10933145690,41.8769387,-87.6318727,0.8294999999999996
10933145691,41.8769392,-87.6317376,0.8314999999999998
10933145692,41.8767682,-87.6318682,0.8339999999999996
10933145693,41.8767687,-87.6317953,0.8344999999999996
10933145696,41.8769785,-87.6318078,0.8299999999999996
10933204906,41.8769234,-87.6318755,0.8294999999999996
10933204907,41.8769242,-87.6318029,0.8299999999999996
10933204908,41.8769241,-87.6317342,0.8314999999999998
10933204909,41.8768259,-87.6318734,0.8339999999999996
10933204910,41.876825,-87.6318011,0.8344999999999996
10933204911,41.8768257,-87.6317239,0.8344999999999996
10933204912,41.8768083,-87.6318806,0.8359999999999999
10933204913,41.8768097,-87.6317172,0.8344999999999996
10933204914,41.8769356,-87.6318823,0.8319999999999997
10933204915,41.8769359,-87.6317292,0.8314999999999998
10933204916,41.8769357,-87.6318072,0.8299999999999996
10933204917,41.876809,-87.6317965,0.8344999999999996
10933204926,41.8766992,-87.6308708,0.8279999999999997
10933205006,41.8769442,-87.6319893,0.8334999999999997
10933205007,41.8767903,-87.6319792,0.8374999999999997
10933205008,41.8767961,-87.6316125,0.8344999999999996
10933205009,41.8769471,-87.6316249,0.8314999999999998
10933329795,41.8769653,-87.6296958,0.8009999999999997
10933329797,41.8769733,-87.629972,0.8004999999999997
10933329802,41.8768302,-87.6297017,0.8009999999999997
10933329804,41.8768202,-87.6294319,0.7984999999999995
10933342022,41.8770167,-87.6286488,0.7989999999999995
10933342023,41.8770227,-87.6278225,0.7984999999999993
10933342025,41.8769914,-87.628579,0.7989999999999995
10933342026,41.8769686,-87.628578,0.7989999999999995
10933342028,41.8769803,-87.6285505,0.7989999999999995
10933342029,41.8769787,-87.6286064,0.7989999999999995
10933342032,41.8769766,-87.6287849,0.7984999999999995
10933342044,41.8768442,-87.6286034,0.7974999999999995
10933342046,41.8768417,-87.6287904,0.7984999999999995
10933342047,41.8769787,-87.6286334,0.7984999999999995
10933342048,41.8768438,-87.6286322,0.7974999999999995
10933342050,41.8770185,-87.6285317,0.7989999999999995
10933342051,41.8769799,-87.6285327,0.7989999999999995
10933342054,41.8768347,-87.6283056,0.8004999999999995
10933342055,41.8769186,-87.6286329,0.7984999999999995
10933342056,41.8769195,-87.6285325,0.7974999999999995
10933342059,41.8769806,-87.6285074,0.7989999999999995
10933342063,41.8769959,-87.6282587,0.7974999999999995
10933342064,41.8770201,-87.6282593,0.7974999999999995
10956195898,41.8800444,-87.6324347,0.6859999999999999
10956376206,41.8798463,-87.6329482,0.6859999999999999
10956376207,41.8800399,-87.6329534,0.6859999999999999
10956376215,41.8805783,-87.6334116,0.6924999999999997
10956376216,41.8806734,-87.6334147,0.6924999999999997
10956376217,41.8805976,-87.6334123,0.6924999999999997
10956393851,41.8801005,-87.6321927,0.6864999999999998
10956393852,41.8801043,-87.6318334,0.7954999999999991
10956393856,41.8800518,-87.6317785,0.7954999999999991
10956393857,41.8801164,-87.6308214,0.7964999999999992
10956393859,41.8800624,-87.6309625,0.7974999999999991
10956393860,41.8800459,-87.6321916,0.6859999999999999
10956393861,41.8801146,-87.6309645,0.7974999999999991
10956413133,41.8800789,-87.6294846,0.8009999999999993
10956413134,41.8800641,-87.6307119,0.796999999999999
10956413356,41.8802601,-87.6294888,0.8029999999999992
10956413359,41.8799092,-87.6294807,0.8049999999999993
10956413360,41.8800924,-87.6294661,0.8009999999999993
10956413361,41.8800943,-87.6292577,0.8084999999999992
10956413362,41.8800933,-87.6293628,0.8014999999999992
10956436268,41.8801339,-87.6297167,0.7994999999999992
10956436269,41.8801369,-87.6294859,0.8014999999999992
10957819933,41.8799198,-87.6292264,0.8084999999999992
10957819934,41.8802568,-87.6292366,0.6884999999999999
10957839319,41.8799087,-87.6278953,0.6939999999999997
10957839321,41.8802876,-87.6279034,0.6989999999999996
10957839323,41.8800999,-87.6278671,0.6974999999999996
10957839324,41.8801024,-87.6276161,0.6974999999999996
10957839325,41.8801013,-87.6277248,0.6974999999999996
10957839354,41.8800834,-87.6290678,0.8089999999999992
10957839355,41.8800494,-87.6290678,0.8089999999999992
10957839356,41.8800511,-87.6289628,0.8119999999999992
10957839357,41.8800847,-87.6289635,0.8119999999999992
10957839361,41.8800841,-87.6290141,0.8099999999999993
10957839362,41.8801308,-87.6290154,0.8099999999999993
10957839366,41.8800918,-87.6278992,0.6974999999999996
10957839367,41.8800824,-87.6292313,0.8084999999999992
10957839368,41.8806443,-87.6283991,0.6969999999999996
10957933573,41.8803039,-87.6275784,0.6989999999999996
10957933574,41.8799251,-87.6275711,0.6939999999999997
10957942787,41.8804712,-87.6263374,0.6984999999999997
10957942789,41.8804715,-87.6263015,0.6984999999999997
10957942799,41.8799571,-87.6262916,0.6994999999999996
10974111397,41.8782113,-87.6328341,0.6849999999999998
10974276149,41.8793403,-87.6315143,0.8014999999999992
10974276150,41.8788285,-87.6315047,0.8014999999999992
10974276151,41.8788226,-87.6321556,0.7874999999999993
10974276152,41.8787314,-87.6321529,0.7874999999999993
10974276153,41.8787479,-87.6309267,0.8024999999999991
10974276187,41.8787844,-87.6309276,0.8024999999999991
10974276190,41.8793502,-87.6314577,0.8014999999999992
10974282964,41.8788216,-87.6309284,0.8024999999999991
10974282966,41.8788237,-87.6314492,0.8014999999999992
10974570092,41.8786444,-87.6301546,0.7989999999999994
10974570093,41.8786812,-87.6301557,0.7989999999999994
10974570183,41.8788084,-87.6292879,0.8019999999999993
10977345179,41.8788493,-87.6291863,0.8009999999999994
10977345827,41.8788832,-87.6279233,0.8039999999999994
10977345846,41.8787983,-87.6287573,0.7999999999999994
10977345966,41.8788212,-87.627685,0.8044999999999993
10977345971,41.878884,-87.6278618,0.8039999999999994
10977346064,41.8782712,-87.6284975,0.8024999999999994
10977346065,41.8788304,-87.6278605,0.8039999999999994
10977487747,41.8791902,-87.6263098,0.6954999999999998
10977487785,41.8783164,-87.6267097,0.8039999999999994
